document_type,sku,product,status,revision,effective_date,path,filename,sha256,size_bytes,pages
Facility Resource,,,current,,,resources/00-alles-clinx-facility-hygiene-resource-library-index.pdf,00-alles-clinx-facility-hygiene-resource-library-index.pdf,eb1a173911ba3d2345520d87dc2cf029a7d9dbfe29f136ed12baff48ca2664cb,107226,7
Facility Resource,,,current,,,resources/01-core-cleaning-operations/01-alles-clinx-daily-cleaning-checklist.pdf,01-alles-clinx-daily-cleaning-checklist.pdf,c71d2ef21417522745b3d0257cee597c32583d5950045bfebaf1230b2193c759,76049,1
Facility Resource,,,current,,,resources/01-core-cleaning-operations/02-alles-clinx-area-cleaning-schedule.pdf,02-alles-clinx-area-cleaning-schedule.pdf,54ccec8e6b2b6a564c1044a2b3e3279b6dc3232e727a9ac02ad576047626fdbe,73956,1
Facility Resource,,,current,,,resources/01-core-cleaning-operations/03-alles-clinx-cleaning-frequency-matrix.pdf,03-alles-clinx-cleaning-frequency-matrix.pdf,f25a1f197b8ee58373cd64aa26732b6213617b0a3096d09d18cf4f8db18c29e8,81012,1
Facility Resource,,,current,,,resources/01-core-cleaning-operations/04-alles-clinx-high-touch-surface-checklist.pdf,04-alles-clinx-high-touch-surface-checklist.pdf,7dcbe2e64d06d2dc521cacb91069c7e1a63d5a89f79314046fb68b4a155ee810,75724,1
Facility Resource,,,current,,,resources/01-core-cleaning-operations/05-alles-clinx-washroom-inspection-checklist.pdf,05-alles-clinx-washroom-inspection-checklist.pdf,7c05fb32765253a25747bbc991a982a1883a2100b11660ea7524dc376da6bda8,76574,1
Facility Resource,,,current,,,resources/01-core-cleaning-operations/06-alles-clinx-deep-cleaning-checklist.pdf,06-alles-clinx-deep-cleaning-checklist.pdf,2af971d21d9209889297c4eec56ea07ae335adf4a197017ef4f22b934e0dd92a,75960,1
Facility Resource,,,current,,,resources/01-core-cleaning-operations/07-alles-clinx-opening-hygiene-checklist.pdf,07-alles-clinx-opening-hygiene-checklist.pdf,d5a90ef0d11625a8f37119572236e43c081601fdac8be65cf84a7f31df4fdf77,75958,1
Facility Resource,,,current,,,resources/01-core-cleaning-operations/08-alles-clinx-closing-hygiene-checklist.pdf,08-alles-clinx-closing-hygiene-checklist.pdf,6c93a5a45c57ea4df47dfbca43fb1ccd7daf73e8e5e6b3d69ca9ac1f646c1072,76163,1
Facility Resource,,,current,,,resources/01-core-cleaning-operations/09-alles-clinx-housekeeping-shift-handover-sheet.pdf,09-alles-clinx-housekeeping-shift-handover-sheet.pdf,397e64fd2c1c22b14faf9a697833ae02a0373f859d43e51e64a88e4f22447fde,78377,1
Facility Resource,,,current,,,resources/01-core-cleaning-operations/10-alles-clinx-weekly-monthly-periodic-cleaning-log.pdf,10-alles-clinx-weekly-monthly-periodic-cleaning-log.pdf,075f86a4c04dc5d9abe3511b8aa27391ae86398af50d921a2a711ab624e748e6,74056,1
Facility Resource,,,current,,,resources/02-chemical-management-safety/11-alles-clinx-chemical-dilution-log.pdf,11-alles-clinx-chemical-dilution-log.pdf,39e403c71e2d3c4b2eab3dda7a9210217492b0c2831169bfa4768fe9aefd17d7,73984,1
Facility Resource,,,current,,,resources/02-chemical-management-safety/12-alles-clinx-dilution-reference-chart.pdf,12-alles-clinx-dilution-reference-chart.pdf,bc72f77859a8eb280e2ec10f8ef7f5815fce705e462279a0e336d1b7ba3eb7ea,74845,1
Facility Resource,,,current,,,resources/02-chemical-management-safety/13-alles-clinx-chemical-storage-inspection-checklist.pdf,13-alles-clinx-chemical-storage-inspection-checklist.pdf,b9aeed264e1cc63f4a20e04fa8aab14864613c9e741f40e6f83f96d57403e213,76293,1
Facility Resource,,,current,,,resources/02-chemical-management-safety/14-alles-clinx-chemical-stock-register.pdf,14-alles-clinx-chemical-stock-register.pdf,bee46d324be96db201c0a346b132893346f0d8700fe0f005aff5c557e78319ab,73923,1
Facility Resource,,,current,,,resources/02-chemical-management-safety/15-alles-clinx-sds-register-and-availability-checklist.pdf,15-alles-clinx-sds-register-and-availability-checklist.pdf,6c52bdff73717c6af9e1edea901334be22771e170c29a05dd968bfe7594a9dea,74532,1
Facility Resource,,,current,,,resources/02-chemical-management-safety/16-alles-clinx-workplace-chemical-label-checklist.pdf,16-alles-clinx-workplace-chemical-label-checklist.pdf,435c1b4429c0d34c0cda9f742cf8ec16fe594fbccaf00c6f5d1be811124134f3,76316,1
Facility Resource,,,current,,,resources/02-chemical-management-safety/17-alles-clinx-ppe-selection-and-compliance-checklist.pdf,17-alles-clinx-ppe-selection-and-compliance-checklist.pdf,2a703eac9bf135d195d3ce251130c0f4c5bccbe47cc00cd700a0b9de4dbf11ce,77611,1
Facility Resource,,,current,,,resources/02-chemical-management-safety/18-alles-clinx-chemical-spill-response-checklist.pdf,18-alles-clinx-chemical-spill-response-checklist.pdf,d09a7510a2c27f669061f58815b78c56526f755da4b04c428e0e782f7e7ac5f5,76251,1
Facility Resource,,,current,,,resources/02-chemical-management-safety/19-alles-clinx-chemical-exposure-incident-report.pdf,19-alles-clinx-chemical-exposure-incident-report.pdf,c89bee8cde18df6e92ff8f08892766090523ae9e42433e1776ee5f29415d0005,80845,1
Facility Resource,,,current,,,resources/02-chemical-management-safety/20-alles-clinx-product-and-surface-compatibility-checklist.pdf,20-alles-clinx-product-and-surface-compatibility-checklist.pdf,0b9476f7bee4bc9695c74322a60ab1043017f77457343eac4a8217f13c16073c,74075,1
Facility Resource,,,current,,,resources/03-equipment-housekeeping-control/21-alles-clinx-cleaning-equipment-inspection-checklist.pdf,21-alles-clinx-cleaning-equipment-inspection-checklist.pdf,cc9223de24eab31bf921faff7437017225618472ed1ff4a1b7ec61a717b17c9a,76793,1
Facility Resource,,,current,,,resources/03-equipment-housekeeping-control/22-alles-clinx-cleaning-equipment-maintenance-log.pdf,22-alles-clinx-cleaning-equipment-maintenance-log.pdf,7af561f574741d4b9fb311aece6de25c2e90c15e0f3a28d5a14c63a82edf30d5,74942,1
Facility Resource,,,current,,,resources/03-equipment-housekeeping-control/23-alles-clinx-mop-and-cleaning-cloth-reprocessing-log.pdf,23-alles-clinx-mop-and-cleaning-cloth-reprocessing-log.pdf,a738bec9b11c043f139487e8a407d0af96ee21ec859ec2c2ca49c8fcbd16f13d,74877,1
Facility Resource,,,current,,,resources/03-equipment-housekeeping-control/24-alles-clinx-cleaning-cart-preparation-checklist.pdf,24-alles-clinx-cleaning-cart-preparation-checklist.pdf,d9999a9fea1cea6eed5794e1242468cb071d6d0fb0c89ae017fe6f989c5c6756,76833,1
Facility Resource,,,current,,,resources/03-equipment-housekeeping-control/25-alles-clinx-housekeeping-supply-closet-checklist.pdf,25-alles-clinx-housekeeping-supply-closet-checklist.pdf,53df7b58188fe9abc114d603992020eb307cd7ac408ce814a08a70e0e67bcc4e,76715,1
Facility Resource,,,current,,,resources/04-training-competency/26-alles-clinx-new-housekeeping-staff-induction-checklist.pdf,26-alles-clinx-new-housekeeping-staff-induction-checklist.pdf,b45d3da8863baf836b0a0fd408458995b56e6bcebe111dcf7baaeee090ec0aac,76391,1
Facility Resource,,,current,,,resources/04-training-competency/27-alles-clinx-staff-training-attendance-record.pdf,27-alles-clinx-staff-training-attendance-record.pdf,1e881c7a1efb0c5be2ec789222f3bcc88a2a2be8f251cf3f64e5b499659307f7,74246,1
Facility Resource,,,current,,,resources/04-training-competency/28-alles-clinx-cleaning-competency-assessment.pdf,28-alles-clinx-cleaning-competency-assessment.pdf,1d266120c627482fb388a390f483493d471f393c4eda42995dd7347f318d1c6e,79107,1
Facility Resource,,,current,,,resources/04-training-competency/29-alles-clinx-chemical-handling-competency-assessment.pdf,29-alles-clinx-chemical-handling-competency-assessment.pdf,2d1c45f9495dcbaa6b4efca92b5a840abc435d3a9941d37511b948d8386cd580,79507,1
Facility Resource,,,current,,,resources/04-training-competency/30-alles-clinx-supervisor-practical-observation-checklist.pdf,30-alles-clinx-supervisor-practical-observation-checklist.pdf,fa0a6b9ae6a1041622416c48e8f6c27b0dd544498641b72d3820ef8265cb9695,76328,1
Facility Resource,,,current,,,resources/04-training-competency/31-alles-clinx-refresher-training-tracker.pdf,31-alles-clinx-refresher-training-tracker.pdf,650c48f0c3a0af3316e7b904e1217157bcc942a05bea27ea77c5de301d26cd2e,74088,1
Facility Resource,,,current,,,resources/05-audit-continuous-improvement/32-alles-clinx-supervisor-hygiene-inspection.pdf,32-alles-clinx-supervisor-hygiene-inspection.pdf,d9e8795ea0732742f5e38b5c3013eada131e0a7354fac62c10732a9835abf729,83851,1
Facility Resource,,,current,,,resources/05-audit-continuous-improvement/33-alles-clinx-internal-facility-hygiene-audit.pdf,33-alles-clinx-internal-facility-hygiene-audit.pdf,dcd0d8c8442a5c4b29a4d89c2eee479fcae416b7c3a166c0f60dc5237a8a34be,97837,2
Facility Resource,,,current,,,resources/05-audit-continuous-improvement/34-alles-clinx-pre-audit-hygiene-readiness-checklist.pdf,34-alles-clinx-pre-audit-hygiene-readiness-checklist.pdf,9eb1da5871d8452952aa79dc10b24f0d67d93c418226d7110fca363af4e78b01,76797,1
Facility Resource,,,current,,,resources/05-audit-continuous-improvement/35-alles-clinx-hygiene-non-conformance-report.pdf,35-alles-clinx-hygiene-non-conformance-report.pdf,c59d2ceb020780a0a97d7d31671f794d1bcdd074115e8038f542ae2e0df5d2e6,79278,1
Facility Resource,,,current,,,resources/05-audit-continuous-improvement/36-alles-clinx-corrective-and-preventive-action-capa.pdf,36-alles-clinx-corrective-and-preventive-action-capa.pdf,bb098a82b9d88cfca14c898e4aa6bc1cfd5b7cf7e34bb9a0f1b38b2e76a3dccf,79992,1
Facility Resource,,,current,,,resources/05-audit-continuous-improvement/37-alles-clinx-hygiene-improvement-action-plan.pdf,37-alles-clinx-hygiene-improvement-action-plan.pdf,d037fdc73a8e828987db009af8497cde9e7e11e5363f9267c8e1fb84d7860672,75325,1
Facility Resource,,,current,,,resources/05-audit-continuous-improvement/38-alles-clinx-monthly-hygiene-kpi-review.pdf,38-alles-clinx-monthly-hygiene-kpi-review.pdf,8bfb41a8eb39f84124b396b8a6ba9abe5faa7440c7bef0e295b37e9d7bcd0b57,78997,1
Facility Resource,,,current,,,resources/06-consumption-procurement/39-alles-clinx-chemical-reorder-planning-sheet.pdf,39-alles-clinx-chemical-reorder-planning-sheet.pdf,413dfc26af3bc320ac76305eda723fc2b602690cd7cf8871de8b587a611b7cea,74660,1
Facility Resource,,,current,,,resources/06-consumption-procurement/40-alles-clinx-monthly-chemical-consumption-tracker.pdf,40-alles-clinx-monthly-chemical-consumption-tracker.pdf,1be1752e0f58c1b563fd8291189c38d841cd5347d369c07cf0f73d52d5bf3271,73903,1
Facility Resource,,,current,,,resources/06-consumption-procurement/41-alles-clinx-chemical-cost-per-use-worksheet.pdf,41-alles-clinx-chemical-cost-per-use-worksheet.pdf,4fe0a757e293fd371f46c97bd060a917c0050599fb2cc8682a7577b77e25f62a,78897,1
Facility Resource,,,current,,,resources/06-consumption-procurement/42-alles-clinx-cleaning-chemical-supplier-comparison-sheet.pdf,42-alles-clinx-cleaning-chemical-supplier-comparison-sheet.pdf,4bba4bb06df7e0f235567c4a806ecc91f06e61e5769adb2b101145fa751d1555,75066,1
Facility Resource,,,current,,,resources/07-sector-specific-resources/43-alles-clinx-hospital-housekeeping-checklist.pdf,43-alles-clinx-hospital-housekeeping-checklist.pdf,8969e03bff9af1a1f64064b5120548cf2a8a0f8c81fa431cbddbcf6874140d19,76431,1
Facility Resource,,,current,,,resources/07-sector-specific-resources/44-alles-clinx-hospital-terminal-cleaning-checklist.pdf,44-alles-clinx-hospital-terminal-cleaning-checklist.pdf,93e0335eb3a6a225b5a484a222877d6427e3024b3e0c344e95702d2ed5ae51c4,76333,1
Facility Resource,,,current,,,resources/07-sector-specific-resources/45-alles-clinx-high-risk-isolation-area-cleaning-checklist.pdf,45-alles-clinx-high-risk-isolation-area-cleaning-checklist.pdf,658e484f55805f267eaf6986bcaf1733ad9566bbc180d9072565d5d43cfb5d7b,76338,1
Facility Resource,,,current,,,resources/07-sector-specific-resources/46-alles-clinx-laundry-hygiene-checklist.pdf,46-alles-clinx-laundry-hygiene-checklist.pdf,59758ad315a9fb646d9597c3bb7c81522c8d64375879982f7e929d1676b5af01,76355,1
Facility Resource,,,current,,,resources/07-sector-specific-resources/47-alles-clinx-kitchen-and-dietary-services-sanitation-checklist.pdf,47-alles-clinx-kitchen-and-dietary-services-sanitation-checklist.pdf,4b6c2fe8c5e92e454ccaf4b49c8d0b2049a5ae49e014fd0ce3eb11cff87eff34,76436,1
