document_type,sku,product,legacy_path,canonical_path
TDS,ACX-1226-VAR,Air Freshener,tds/air-freshener-tds-acx-1226-var.pdf,tds/alles-clinx-air-freshener-technical-data-sheet-acx-1226-var.pdf
TDS,ACX-2539-VAR,Anionic Surfactant Concentrate - Alkaline,tds/anionic-surfactant-concentrate-alkaline-tds-acx-2539-var.pdf,tds/alles-clinx-anionic-surfactant-concentrate-alkaline-technical-data-sheet-acx-2539-var.pdf
TDS,ACX-2221-VAR,Antiseptic Handwash - CHG Clinical,tds/antiseptic-handwash-chg-clinical-tds-acx-2221-var.pdf,tds/alles-clinx-antiseptic-handwash-chg-clinical-technical-data-sheet-acx-2221-var.pdf
TDS,ACX-1243-VAR,Bathroom & Tile Cleaner - Lime,tds/bathroom-and-tile-cleaner-lime-tds-acx-1243-var.pdf,tds/alles-clinx-bathroom-and-tile-cleaner-lime-technical-data-sheet-acx-1243-var.pdf
TDS,ACX-1221-VAR,Calcite & Limescale Remover - Acidic,tds/calcite-and-limescale-remover-acidic-tds-acx-1221-var.pdf,tds/alles-clinx-calcite-and-limescale-remover-acidic-technical-data-sheet-acx-1221-var.pdf
TDS,ACX-2538-VAR,Carbonised Grease Remover - Caustic Gel,tds/carbonised-grease-remover-caustic-gel-tds-acx-2538-var.pdf,tds/alles-clinx-carbonised-grease-remover-caustic-gel-technical-data-sheet-acx-2538-var.pdf
TDS,ACX-CARPETSH-VAR,Carpet & Upholstery Shampoo Concentrate - Low-Foam,tds/carpet-and-upholstery-shampoo-concentrate-low-foam-tds-acx-carpetsh-var.pdf,tds/alles-clinx-carpet-and-upholstery-shampoo-concentrate-low-foam-technical-data-sheet-acx-carpetsh-var.pdf
TDS,ACX-1234-VAR,Chimney & Exhaust Degreaser - Alkaline,tds/chimney-and-exhaust-degreaser-alkaline-tds-acx-1234-var.pdf,tds/alles-clinx-chimney-and-exhaust-degreaser-alkaline-technical-data-sheet-acx-1234-var.pdf
TDS,ACX-1235-VAR,Citric Bathroom Descaler - Alkaline,tds/citric-bathroom-descaler-alkaline-tds-acx-1235-var.pdf,tds/alles-clinx-citric-bathroom-descaler-alkaline-technical-data-sheet-acx-1235-var.pdf
TDS,ACX-CONCDEG-VAR,Concrete Floor Degreaser - Heavy-Duty Alkaline,tds/concrete-floor-degreaser-heavy-duty-alkaline-tds-acx-concdeg-var.pdf,tds/alles-clinx-concrete-floor-degreaser-heavy-duty-alkaline-technical-data-sheet-acx-concdeg-var.pdf
TDS,ACX-1222-VAR,Dish Concentrate - Alkaline,tds/dish-concentrate-alkaline-tds-acx-1222-var.pdf,tds/alles-clinx-dish-concentrate-alkaline-technical-data-sheet-acx-1222-var.pdf
