sku,name,ph,shelf_life,pack_size,sds,tds,sop,usage_guide
ACX-1226-VAR,Air Freshener,6.0–7.0 (near-neutral),"24 months from date of manufacture, unopened",500 ml ready-to-use trigger spray,,https://github.com/alles-clinx/.github/blob/main/tds/alles-clinx-air-freshener-technical-data-sheet-acx-1226-var.pdf,https://github.com/alles-clinx/.github/blob/main/sops/alles-clinx-air-freshener-standard-operating-procedure-acx-1226-var.pdf,https://github.com/alles-clinx/.github/blob/main/usage-guides/alles-clinx-air-freshener-usage-guide-acx-1226-var.pdf
ACX-2539-VAR,Anionic Surfactant Concentrate - Alkaline,10.0–12.0 (alkaline),"24 months from date of manufacture, unopened",5 Litres / Bulk on request,,https://github.com/alles-clinx/.github/blob/main/tds/alles-clinx-anionic-surfactant-concentrate-alkaline-technical-data-sheet-acx-2539-var.pdf,https://github.com/alles-clinx/.github/blob/main/sops/alles-clinx-anionic-surfactant-concentrate-alkaline-standard-operating-procedure-acx-2539-var.pdf,https://github.com/alles-clinx/.github/blob/main/usage-guides/alles-clinx-anionic-surfactant-concentrate-alkaline-usage-guide-acx-2539-var.pdf
ACX-2221-VAR,Antiseptic Handwash - CHG Clinical,5.5–7.0,"24 months from date of manufacture, unopened",5 Litres,,https://github.com/alles-clinx/.github/blob/main/tds/alles-clinx-antiseptic-handwash-chg-clinical-technical-data-sheet-acx-2221-var.pdf,https://github.com/alles-clinx/.github/blob/main/sops/alles-clinx-antiseptic-handwash-chg-clinical-standard-operating-procedure-acx-2221-var.pdf,https://github.com/alles-clinx/.github/blob/main/usage-guides/alles-clinx-antiseptic-handwash-chg-clinical-usage-guide-acx-2221-var.pdf
ACX-1243-VAR,Bathroom & Tile Cleaner - Lime,9–10 (alkaline),"24 months from manufacture date, unopened",5 Litres,,https://github.com/alles-clinx/.github/blob/main/tds/alles-clinx-bathroom-and-tile-cleaner-lime-technical-data-sheet-acx-1243-var.pdf,https://github.com/alles-clinx/.github/blob/main/sops/alles-clinx-bathroom-and-tile-cleaner-lime-standard-operating-procedure-acx-1243-var.pdf,https://github.com/alles-clinx/.github/blob/main/usage-guides/alles-clinx-bathroom-and-tile-cleaner-lime-usage-guide-acx-1243-var.pdf
ACX-1221-VAR,Calcite & Limescale Remover - Acidic,1.5–2.0 (strongly acidic),"24 months from date of manufacture, unopened",5 Litres,,https://github.com/alles-clinx/.github/blob/main/tds/alles-clinx-calcite-and-limescale-remover-acidic-technical-data-sheet-acx-1221-var.pdf,https://github.com/alles-clinx/.github/blob/main/sops/alles-clinx-calcite-and-limescale-remover-acidic-standard-operating-procedure-acx-1221-var.pdf,https://github.com/alles-clinx/.github/blob/main/usage-guides/alles-clinx-calcite-and-limescale-remover-acidic-usage-guide-acx-1221-var.pdf
ACX-2538-VAR,Carbonised Grease Remover - Caustic Gel,12.0–13.0 (strongly alkaline),"24 months from date of manufacture, unopened",5 Litres,,https://github.com/alles-clinx/.github/blob/main/tds/alles-clinx-carbonised-grease-remover-caustic-gel-technical-data-sheet-acx-2538-var.pdf,https://github.com/alles-clinx/.github/blob/main/sops/alles-clinx-carbonised-grease-remover-caustic-gel-standard-operating-procedure-acx-2538-var.pdf,https://github.com/alles-clinx/.github/blob/main/usage-guides/alles-clinx-carbonised-grease-remover-caustic-gel-usage-guide-acx-2538-var.pdf
ACX-CARPETSH-VAR,Carpet & Upholstery Shampoo Concentrate - Low-Foam,7.0–8.5 (mild alkaline),"24 months from date of manufacture, unopened",5 Litres / Bulk on request,,https://github.com/alles-clinx/.github/blob/main/tds/alles-clinx-carpet-and-upholstery-shampoo-concentrate-low-foam-technical-data-sheet-acx-carpetsh-var.pdf,https://github.com/alles-clinx/.github/blob/main/sops/alles-clinx-carpet-and-upholstery-shampoo-concentrate-low-foam-standard-operating-procedure-acx-carpetsh-var.pdf,https://github.com/alles-clinx/.github/blob/main/usage-guides/alles-clinx-carpet-and-upholstery-shampoo-concentrate-low-foam-usage-guide-acx-carpetsh-var.pdf
ACX-1234-VAR,Chimney & Exhaust Degreaser - Alkaline,11.0–12.0 (strongly alkaline),"24 months from date of manufacture, unopened",5 Litres concentrate,,https://github.com/alles-clinx/.github/blob/main/tds/alles-clinx-chimney-and-exhaust-degreaser-alkaline-technical-data-sheet-acx-1234-var.pdf,https://github.com/alles-clinx/.github/blob/main/sops/alles-clinx-chimney-and-exhaust-degreaser-alkaline-standard-operating-procedure-acx-1234-var.pdf,https://github.com/alles-clinx/.github/blob/main/usage-guides/alles-clinx-chimney-and-exhaust-degreaser-alkaline-usage-guide-acx-1234-var.pdf
ACX-1235-VAR,Citric Bathroom Descaler - Alkaline,10.0–11.0 (alkaline),"24 months from date of manufacture, unopened",5 Litres,,https://github.com/alles-clinx/.github/blob/main/tds/alles-clinx-citric-bathroom-descaler-alkaline-technical-data-sheet-acx-1235-var.pdf,https://github.com/alles-clinx/.github/blob/main/sops/alles-clinx-citric-bathroom-descaler-alkaline-standard-operating-procedure-acx-1235-var.pdf,https://github.com/alles-clinx/.github/blob/main/usage-guides/alles-clinx-citric-bathroom-descaler-alkaline-usage-guide-acx-1235-var.pdf
ACX-CONCDEG-VAR,Concrete Floor Degreaser - Heavy-Duty Alkaline,11.0–13.0 (alkaline),"24 months from date of manufacture, unopened",5 Litres / Bulk on request,,https://github.com/alles-clinx/.github/blob/main/tds/alles-clinx-concrete-floor-degreaser-heavy-duty-alkaline-technical-data-sheet-acx-concdeg-var.pdf,https://github.com/alles-clinx/.github/blob/main/sops/alles-clinx-concrete-floor-degreaser-heavy-duty-alkaline-standard-operating-procedure-acx-concdeg-var.pdf,https://github.com/alles-clinx/.github/blob/main/usage-guides/alles-clinx-concrete-floor-degreaser-heavy-duty-alkaline-usage-guide-acx-concdeg-var.pdf
